"Orden","OS Dominante","Producto","Doble Modem","OMS E.","E. Saydot","Cod. Tec","Fac. OK ","Estado","Sin Datos","Relacionadas","Datos B_O","Error Captura","Error Subida","Diagnostico"
"183012789","","ADSL","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183012789 - R001 - ADSL : DE,183012790 - R001 - PSTN : DE,183012791 - R001 - DTH : DE,","NO","","","Enviada a saydot y sin tracking carga"
"183038366","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183038366 - R001 - PSTN : DE,183038367 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"184025004","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184025004 - R001 - PSTN : DE,184025005 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"183721378","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183721379 - R001 - ADSL : DE,183721378 - R001 - PSTN : DE,","NO","","","Enviada a saydot y sin tracking carga"
"182077060","","VSIP","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","182077060 - R001 - VSIP : DE,182077059 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"184010231","","PSTN","NO","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184010231 - R015 - PSTN : DE,184010384 - R015 - ADSL : DO,","NO","","","Enviada a saydot y sin tracking carga"
"183842189","","VSIP","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183842686 - R015 - ADSL : DE,183842189 - R015 - VSIP : DE,","NO","","","Enviada a saydot y sin tracking carga"
"182077059","","ADSL","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","182077060 - R001 - VSIP : DE,182077059 - R001 - ADSL : DE,","NO","","","Enviada a saydot y sin tracking carga"
"184028047","","DTH","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184028047 - R016 - DTH : DE,","SI","","","ERROR GRABANDO ORDEN DE SERVICIO"
"183724322","","PSTN","NO","DE","PD : Pendiente de Despacho",":","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183724322 - R001 - PSTN : DE,183724323 - R001 - ADSL : DE,","NO","","","REPETIR CIERRE: OS: 183724323"
"184253893","","ADSL","NO","DE","NotFound","","OK","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184253893 - R001 - ADSL : DE,184253894 - R001 - VSIP : DE,","NO","","","ERROR GRABANDO ORDEN DE SERVICIO"
"184184362","","ADSL","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","SI","184184362 - R016 - ADSL : DE,","NO","","","ERROR GRABANDO ORDEN DE SERVICIO"
"183974095","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","183974095 - R001 - DTH : CA,","SI","","",""
"184145427","184144953","ADSL","NO","DE","TD : PENDIENTE DISEÑO TBS","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184145427 - R015 - ADSL : DE,184144953 - R015 - PSTN : DE,","NO","","","Estado no despachable en SAYDOT, luego de haber estado PD"
"183965129","","DTH","","CA","NotFound","","NO","Completadas_y_Canceladas","NO","183965127 - RG - PSTN : DO,183965128 - R001 - ADSL : DO,183965129 - R001 - DTH : CA,","NO","","",""
"184003535","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","184003535 - R001 - DTH : CA,","SI","","",""
"184007164","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","184007164 - R001 - DTH : CA,","SI","","",""
"184212150","184212160","ADSL","SI","DE","TD : PENDIENTE DISEÑO TBS","","NO","Completadas_y_en_Proceso","NO","184212146 - TPTL - PSTN : DO,184212157 - TPTL - IPTV : DE,184212160 - TPTL - PSTN : DE,184212150 - TPTL - ADSL : DE,","NO","","","Estado no despachable en SAYDOT, luego de haber estado PD"
"184048104","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","184048104 - R001 - DTH : CA,","SI","","",""
"184108412","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","184108412 - R001 - DTH : CA,","SI","","",""
"184000790","","DTH","","CA","NotFound","","NO","Completadas_y_Canceladas","NO","184000789 - RG - ADSL : DO,184000790 - R001 - DTH : CA,184000788 - RG - PSTN : DO,","NO","","",""
"184170456","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","184170456 - R001 - DTH : CA,","SI","","",""
"184215703","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","184215703 - R001 - DTH : CA,","SI","","",""
"183964575","183964130","IPTV","SI","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Completadas_y_en_Proceso","NO","183964569 - TPTL - PSTN : DO,183964574 - TPTL - ADSL : DE,183964575 - TPTL - IPTV : DE,183964570 - TPTL - PSTN : DO,","NO","","","Orden 183964575 Delivery en OMS, Cancelada en M6"
"184221325","","DTH","","CA","NotFound","","NO","Canceladas_Total","NO","184221325 - R001 - DTH : CA,","SI","","",""
"183964574","183964131","ADSL","SI","DE","XC : Pendiente de Cancelar","0210:CLIENTE NO LE    INTERESA","NO","Completadas_y_en_Proceso","NO","183964569 - TPTL - PSTN : DO,183964574 - TPTL - ADSL : DE,183964575 - TPTL - IPTV : DE,183964570 - TPTL - PSTN : DO,","NO","","","Orden 183964575 Delivery en OMS, Cancelada en M6"
"184178604","","ADSL","","CA","NotFound","","NO","Canceladas_Total","NO","184178604 - R001 - ADSL : CA,184178603 - R001 - PSTN : CA,","NO","","",""
"184232102","","ADSL","","CA","NotFound","","NO","Canceladas_Total","NO","184232103 - R001 - PSTN : CA,184232102 - R001 - ADSL : CA,","NO","","",""
"184003225","","PSTN","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184003226 - R001 - IPTV : DE,184003225 - R001 - PSTN : DE,184003224 - R001 - ADSL : DE,","NO","","","Orden no cargada, esperando orden 184003226 error intentando descomponer la orden"
"183974699","","VSIP","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183974698 - R001 - IPTV : DE,183974697 - R001 - ADSL : DE,183974699 - R001 - VSIP : DE,","NO","","","Orden no cargada, esperando orden 183974699 error intentando descomponer la orden"
"184255818","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184255813 - RG - PSTN : DO,184255818 - MCTV - IPTV : DE,184255816 - RG - ADSL : DE,184255817 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
"183974697","","ADSL","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183974698 - R001 - IPTV : DE,183974697 - R001 - ADSL : DE,183974699 - R001 - VSIP : DE,","NO","","","Orden no cargada, esperando orden 183974699 error intentando descomponer la orden"
"183974698","","IPTV","NO","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","183974698 - R001 - IPTV : DE,183974697 - R001 - ADSL : DE,183974699 - R001 - VSIP : DE,","NO","","","Orden no cargada, esperando orden 183974699 error intentando descomponer la orden"
"184232117","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184232117 - MCTV - IPTV : DE,184232115 - RG - ADSL : DE,184232116 - MCTV - DTH : DE,184232113 - RG - PSTN : DO,","NO","","","Quitese no capturado"
"184052024","","PSTN","","DE","NotFound","","NO","Ninguna_orden_se_ha_completado_ni_cancelado","NO","184052024 - R001 - PSTN : DE,184052025 - MVIP - ADSL : DE,","NO","","","Quitese no capturado"
"183920698","","DTH","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","183920696 - RG - PSTN : DO,183920697 - R001 - ADSL : DO,183920698 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
"184170755","","IPTV","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184170748 - RG - PSTN : DO,184170752 - MCTV - DTH : DE,184170755 - MCTV - IPTV : DE,184170750 - RG - ADSL : DE,","NO","","","Quitese no capturado"
"184162283","","DTH","","DE","NotFound","","NO","Completadas_y_en_Proceso","NO","184162281 - RG - ADSL : DO,184162275 - RG - PSTN : DO,184162282 - RC05 - IPTV : DO,184162283 - MCTV - DTH : DE,","NO","","","Quitese no capturado"
